Year,Series,Ministry,Department,Value
2013,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Vanuatu Investment Promotion Authority,0
2013,Original Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,37
2013,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,3
2013,Original Budget,Prime Ministers Ministry,Language Services Department,0
2013,Original Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer,50
2013,Original Budget,Prime Ministers Ministry,Vanuatu Project Management Unit,223
2014,Original Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,2
2014,Original Budget,Constitutional Agencies,Parliament,0
2014,Original Budget,Constitutional Agencies,Public Service Commission,1
2014,Original Budget,Constitutional Agencies,State Law Office,0
2014,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,16
2014,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,13
2014,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,17
2014,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,2
2014,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,3
2014,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,261
2014,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,9
2014,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,0
2014,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,195
2014,Original Budget,Ministry of Education & Training,Director General Directorate,271
2014,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,56
2014,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,53
2014,Original Budget,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,6
2014,Original Budget,Ministry of Finance and Economic Management,MCA Vanuatu Program Management,0
2014,Original Budget,Ministry of Finance and Economic Management,MFEM Cabinet,-2
2014,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,4
2014,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,17
2014,Original Budget,Ministry of Health,Department of Health,274
2014,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,698
2014,Original Budget,Ministry of Internal Affairs,Civil Registry Office,7
2014,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,6
2014,Original Budget,Ministry of Internal Affairs,Electoral Office,-3
2014,Original Budget,Ministry of Internal Affairs,Vanuatu Police Force,-3
2014,Original Budget,Ministry of Justice and Social Welfare,Correctional Services,14
2014,Original Budget,Ministry of Justice and Social Welfare,Customary land management Office,6
2014,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,8
2014,Original Budget,Ministry of Justice and Social Welfare,Vanuatu Law Commission,4
2014,Original Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,2
2014,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,21
2014,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,6
2014,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,1
2014,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,11
2014,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,6
2014,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,59
2014,Original Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,9
2014,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,11
2014,Original Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer,72
2014,Original Budget,Prime Ministers Ministry,Prime Ministers Cabinet,0
2014,Original Budget,Prime Ministers Ministry,Vanuatu Project Management Unit,665
2015,Original Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,2
2015,Original Budget,Constitutional Agencies,Parliament,0
2015,Original Budget,Constitutional Agencies,Public Prosecutor,7
2015,Original Budget,Constitutional Agencies,State Law Office,0
2015,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",50
2015,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,16
2015,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,0
2015,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,21
2015,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,0
2015,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,2
2015,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,255
2015,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,26
2015,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,1
2015,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,301
2015,Original Budget,Ministry of Education & Training,Director General Directorate,481
2015,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,10
2015,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,4169
2015,Original Budget,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,-6
2015,Original Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,10
2015,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,17
2015,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,15
2015,Original Budget,Ministry of Health,Department of Health,201
2015,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,9
2015,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,6824
2015,Original Budget,Ministry of Internal Affairs,Civil Registry Office,32
2015,Original Budget,Ministry of Internal Affairs,Department of Immigration,-2
2015,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,22
2015,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,0
2015,Original Budget,Ministry of Justice and Social Welfare,Correctional Services,77
2015,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,5
2015,Original Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,1
2015,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,15
2015,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,1
2015,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,0
2015,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,62
2015,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,3
2015,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,102
2015,Original Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,16
2015,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,85
2015,Original Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer,54
2015,Original Budget,Prime Ministers Ministry,Vanuatu Project Management Unit,3489
2016,Original Budget,Constitutional Agencies,Judiciary,0
2016,Original Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,24
2016,Original Budget,Constitutional Agencies,Parliament,0
2016,Original Budget,Constitutional Agencies,President of the Republic,14
2016,Original Budget,Constitutional Agencies,Public Prosecutor,6
2016,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",15
2016,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,56
2016,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,13
2016,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,50
2016,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,10
2016,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,42
2016,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",1
2016,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,145
2016,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,2
2016,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,32
2016,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,410
2016,Original Budget,Ministry of Education & Training,Director General Directorate,495
2016,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,43
2016,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,-1775
2016,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,16
2016,Original Budget,Ministry of Health,Department of Health,802
2016,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,8
2016,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,2011
2016,Original Budget,Ministry of Internal Affairs,Civil Registry Office,14
2016,Original Budget,Ministry of Internal Affairs,Department of Immigration,16
2016,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,1
2016,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,0
2016,Original Budget,Ministry of Justice and Social Welfare,Correctional Services,72
2016,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,10
2016,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,234
2016,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,14
2016,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,181
2016,Original Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,8
2016,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,68
2016,Original Budget,Prime Ministers Ministry,Language Services Department,2
2016,Original Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer,2
2016,Original Budget,Prime Ministers Ministry,Vanuatu Project Management Unit,5275
2017,Original Budget,Constitutional Agencies,Judiciary,7
2017,Original Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,0
2017,Original Budget,Constitutional Agencies,Office of the Ombudsman,1
2017,Original Budget,Constitutional Agencies,Parliament,0
2017,Original Budget,Constitutional Agencies,President of the Republic,5
2017,Original Budget,Constitutional Agencies,Public Prosecutor,13
2017,Original Budget,Constitutional Agencies,Public Service Commission,0
2017,Original Budget,Constitutional Agencies,Public Solicitor,0
2017,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",4
2017,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,18
2017,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,9
2017,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,28
2017,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,12
2017,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,-2
2017,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,159
2017,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,37
2017,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,10
2017,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,25
2017,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,390
2017,Original Budget,Ministry of Education & Training,Director General Directorate,612
2017,Original Budget,Ministry of Education & Training,Education Commissions and Councils,6
2017,Original Budget,Ministry of Education & Training,Education Service Directorate,180
2017,Original Budget,Ministry of Education & Training,Policy & Planning Directorate,7
2017,Original Budget,Ministry of Education & Training,Tertiary Education Directorate,15
2017,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,46
2017,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,-45
2017,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,20
2017,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,3
2017,Original Budget,Ministry of Health,Department of Health,300
2017,Original Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,17
2017,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,2285
2017,Original Budget,Ministry of Internal Affairs,Civil Registry Office,7
2017,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,1
2017,Original Budget,Ministry of Internal Affairs,Vanuatu Police Force,-1
2017,Original Budget,Ministry of Justice and Social Welfare,Correctional Services,93
2017,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,166
2017,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,3
2017,Original Budget,Ministry of Justice and Social Welfare,Vanuatu Law Commission,0
2017,Original Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,0
2017,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,37
2017,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,-1
2017,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,0
2017,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,6
2017,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,378
2017,Original Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,12
2017,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,67
2017,Original Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer,103
2017,Original Budget,Prime Ministers Ministry,Vanuatu Project Management Unit,6207
2018,Original Budget,Constitutional Agencies,Judiciary,5
2018,Original Budget,Constitutional Agencies,Office of the Ombudsman,8
2018,Original Budget,Constitutional Agencies,Parliament,0
2018,Original Budget,Constitutional Agencies,President of the Republic,1
2018,Original Budget,Constitutional Agencies,Public Prosecutor,4
2018,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",14
2018,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,44
2018,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,14
2018,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,24
2018,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,10
2018,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,177
2018,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,45
2018,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,30
2018,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,43
2018,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,270
2018,Original Budget,Ministry of Education & Training,Director General Directorate,113
2018,Original Budget,Ministry of Education & Training,Education Commissions and Councils,10
2018,Original Budget,Ministry of Education & Training,Education Service Directorate,282
2018,Original Budget,Ministry of Education & Training,Policy & Planning Directorate,15
2018,Original Budget,Ministry of Education & Training,Tertiary Education Directorate,37
2018,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,11
2018,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,124
2018,Original Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,90
2018,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,11
2018,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",3
2018,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,2
2018,Original Budget,Ministry of Health,Department of Health,237
2018,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,1732
2018,Original Budget,Ministry of Internal Affairs,Civil Registry Office,8
2018,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,0
2018,Original Budget,Ministry of Justice and Social Welfare,Correctional Services,36
2018,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,-147
2018,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,1
2018,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,203
2018,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,4
2018,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,123
2018,Original Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,9
2018,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,36
2018,Original Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer,24
2018,Original Budget,Prime Ministers Ministry,Vanuatu Project Management Unit,4847
2019,Original Budget,Constitutional Agencies,Judiciary,2
2019,Original Budget,Constitutional Agencies,National Audit Office,24
2019,Original Budget,Constitutional Agencies,Parliament,12
2019,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",6
2019,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,11
2019,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,29
2019,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,58
2019,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,5
2019,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,5
2019,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,23
2019,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,428
2019,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,30
2019,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,394
2019,Original Budget,Ministry of Education & Training,Director General Directorate,425
2019,Original Budget,Ministry of Education & Training,Education Service Directorate,223
2019,Original Budget,Ministry of Education & Training,Finance & Administration Directorate,240
2019,Original Budget,Ministry of Education & Training,Policy & Planning Directorate,3
2019,Original Budget,Ministry of Education & Training,Tertiary Education Directorate,30
2019,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,80
2019,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,53
2019,Original Budget,Ministry of Finance and Economic Management,MCA Vanuatu Program Management,1
2019,Original Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,-49
2019,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,71
2019,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",4
2019,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,43
2019,Original Budget,Ministry of Health,Department of Health,312
2019,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,4465
2019,Original Budget,Ministry of Internal Affairs,Civil Registry Office,5
2019,Original Budget,Ministry of Internal Affairs,Department of Immigration,-2
2019,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,32
2019,Original Budget,Ministry of Internal Affairs,Electoral Office,80
2019,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,0
2019,Original Budget,Ministry of Internal Affairs,Vanuatu Mobile Force,6
2019,Original Budget,Ministry of Justice and Social Welfare,Correctional Services,12
2019,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,22
2019,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,4
2019,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,159
2019,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,6
2019,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,214
2019,Original Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,10
2019,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,74
2019,Original Budget,Prime Ministers Ministry,Language Services Department,1
2019,Original Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer,67
2019,Original Budget,Prime Ministers Ministry,Prime Ministers Cabinet,-1
2019,Original Budget,Prime Ministers Ministry,Vanuatu Project Management Unit,3761
2020,Original Budget,Constitutional Agencies,Parliament,8
2020,Original Budget,Constitutional Agencies,Public Service Commission,6
2020,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",-3
2020,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,19
2020,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,6
2020,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,29
2020,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,1
2020,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,136
2020,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,190
2020,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,13
2020,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,0
2020,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,65
2020,Original Budget,Ministry of Education & Training,Director General Directorate,38
2020,Original Budget,Ministry of Education & Training,Education Service Directorate,632
2020,Original Budget,Ministry of Education & Training,Finance & Administration Directorate,564
2020,Original Budget,Ministry of Education & Training,Policy & Planning Directorate,0
2020,Original Budget,Ministry of Education & Training,Tertiary Education Directorate,61
2020,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,33
2020,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,89
2020,Original Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,47
2020,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,11
2020,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",3
2020,Original Budget,Ministry of Health,Department of Health,1012
2020,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,2917
2020,Original Budget,Ministry of Internal Affairs,Civil Registry Office,5
2020,Original Budget,Ministry of Internal Affairs,Department of Labour,2
2020,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,9
2020,Original Budget,Ministry of Internal Affairs,Electoral Office,17
2020,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,11
2020,Original Budget,Ministry of Justice and Social Welfare,Correctional Services,3
2020,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,14
2020,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,14
2020,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,302
2020,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,3
2020,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,13
2020,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,73
2020,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade Development Division,14
2020,Original Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,32
2020,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,52
2020,Original Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer,38
2020,Original Budget,Prime Ministers Ministry,Vanuatu Project Management Unit,318
2021,Original Budget,Constitutional Agencies,Electoral Office,14
2021,Original Budget,Constitutional Agencies,Judiciary,12
2021,Original Budget,Constitutional Agencies,National Audit Office,25
2021,Original Budget,Constitutional Agencies,Public Prosecutor,23
2021,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",Department of Agriculture,23
2021,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",Department of Forestry,3
2021,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,90
2021,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,98
2021,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,22
2021,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,0
2021,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,68
2021,Original Budget,Ministry of Education & Training,Director General Directorate,7
2021,Original Budget,Ministry of Education & Training,Education Service Directorate,1973
2021,Original Budget,Ministry of Education & Training,Finance & Administration Directorate,-2
2021,Original Budget,Ministry of Education & Training,Policy & Planning Directorate,5
2021,Original Budget,Ministry of Education & Training,Tertiary Education Directorate,60
2021,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,7
2021,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,40
2021,Original Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,37
2021,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,36
2021,Original Budget,"Ministry of Fisheries, Oceans and Maritime Affairs",Department of Fisheries,12
2021,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,8
2021,Original Budget,Ministry of Health,Department of Health,1461
2021,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,4601
2021,Original Budget,Ministry of Internal Affairs,Civil Registry Office,6
2021,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,5
2021,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,317
2021,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,122
2021,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade Development Division,101
