Pillar Code,Pillar Description,Goal Id,Goal Description,Policy Objective id,Policy Objective Description,Indicator id,Indicator description,Target,SDG Alignment1,SDG Alignment2,SDG Alignment3,SDG Alignment4,SDG Alignment5,Definition,Concept,Rationale,Computation Method,Computation Unit,Proxy,Dissaggregation,Data Source,Frequency of Collection
1,Society,6,A dynamic public sector with good governance and principles and strong institutions delivering the support and services expected by all citizens of Vanuatu,SOC 6.8,Coordinate donor resources to align with national objectives,SOC 6.8.3,Percentage of aid for the government sector using Vanuatu government procurement systems,By 2030 - 65%,"16.6.1
(Tier 1)",,,,,"Procurement process or system allows the government to make proper selection on vendors, establish payment terms, strategic vetting, and selections, negotiate contracts and actual purchasing of goods and services that are provided from donor partners.","
The action of obtaining or procuring something","* Controls over funds that come in from aid R
* Ensure transparency within the government system and that donor resources are aligned with the government objectives and are achieved 
* Improves the government procurement system – especially in terms of procuring goods and services, works from external sources often via tendering and competitive bidding.",(Amount of aid for the government sector using vanatu procurement system) / (total amount of aid for the government sector) x 100,Percentage (%),No,"Government agencies
Rural/Urban
Province
National",MFEM ( Ministry of Finance and Economic Management),Annually
1,Society,6,A dynamic public sector with good governance principles and strong institutions delivering the support and services expected by all citizens of Vanuatu,SOC 6.1,"Enhance the capacity and accountability of public officials, and ensure the impartiality and effectiveness of performance management systems",SOC 6.1.3,Reduction in level of subsidies/grants to SOEs,By 2030 - 0,16.6.1 (Tier 1) ,16.6.2 (Tier 3),,,, Government subsidies help an industry by paying for part of the cost of the production of a good or service by offering tax credits or reimbursements or by paying for part of the cost a consumer would pay to purchase a good or service.,"A subsidy is a benefit given to a State Own Enterprise, or institution, usually by the government. ... The subsidy is typically given to remove some type of burden, and it is often considered to be in the overall interest of the public, given to promote a social good or an economic policy.","On the supply side, government subsidies SOE’s to help an industry by allowing the producers to produce more goods and services. This increases the overall supply of that good or service, increases the quantity demanded for that good or service and lowers the overall price of the good or service. Examples of State Own Enterprise: Airports Vanuatu LTD, Vanuatu Post LTD, Reserve Bank of Vanuatu, Vanuatu Agriculture Development Bank, National Bank of Vanuatu, National Housing, Vanuatu Broadcasting & Television Corporation, Interchange LTD.","Subtract your current year total subsidies by last year's total subsidies, then divide by last year's subsidies. Then, you multiply the resulting figure by 100.",Percentage (%),No,"Years ,Type of State Own Enterprise, National",Department of Finance and Treasury,Annually
1,society,3,"A healthy population that enjoys a high quality of physical, mental, spiritual and social well-being",SOC 3.2,Reduced the incidence of communicable and noncommunicable diseases,SOC 3.2.1,No. of Diabetic (NCD) related amputations,"By 2020, the prevalence of diabetes amongst the adult population is < 23 total cases (excluding digits) 
? By 2025 there is no increase in the prevalence of diabetes and as such in diabetic lower-limb amputations relative to 2020 figures (excluding digits)",3.3.2 ,3.3.3 ,3.3.4 ,3.3.5 ,3.4.1,"The number of People living with diabetes, they have an increased risk of lower limb amputation. ","A nonhealing ulcer that causes severe damage to tissues and bone may require surgical removal (amputation) of a toe, foot or part of a leg. Some people with diabetes are more at risk than others. Factors that lead to an increased risk of an amputation include: High blood sugar levels.","In some cases, diabetes can lead to peripheral artery disease (PAD). PAD causes your blood vessels to narrow and reduces blood flow to your legs and feet. It may also cause nerve damage, known as peripheral neuropathy. ... The most common amputations in people with diabetes are the toes, feet, and lower legs.",(# of diabetic amputation)/(total pop) X 100,Percentage (%),No,"•	Age
•	Geographic location
•	Sex",,
1,society,3,"A healthy population that enjoys a high quality of physical, mental, spiritual and social well-being",SOC 3.5,Build health sector management capacity and systems to ensure the effective and efficient delivery of quality services that are aligned with national directives,SOC 3.4.2,Percentage of Corporate positions within MoH filled on permanent basis,"By 2020, 50% of Corporate positions within MOH filled on permanent basis 
? By 2025 – 70%
 ? By 2030 – 90%",3.c.1 ,3.d.1 ,,,,"Corporate Position means an employee of Ministry of health, ",Percentage of Corporate positions within MoH filled on permanent basis to Build health sector management capacity and systems to ensure the effective and efficient delivery of quality services that are aligned with national directives,To determine whether or not there`s lack  of human resources from the ministry of health.,(#of service or human resources)/(total number of humans ressources) X100,Percentage %,No,"•	Geographical location
•	Qualification","Health Information System 
Ministry of Health Vanuatu",Annually
1,society,4,"An inclusive society which upholds human dignity and where the rights of all Ni-Vanuatu including women, youth, vulnerable groups and the elderly are supported, protected and promoted in our legislation and institutions",SOC 4.1,Implement gender responsive planning and budgeting processes,SOC 4.1.2,Number of decisions in which women participate,By 2030 increase by 20%,5.5.1 (Tier 1 & 3) ,5.5.2 (Tier 1) ,5.a.1 (Tier 3) ,5.c.1 (Tier 3),,"Gender equality is the equal enjoyment by men and women of rights, socially valued goods, opportunities, resources and rewards.","Proportion of government departments with gender responsive policies, legislation and programs is to Implement gender responsive planning and budgeting processes.","To find out the equal enjoyment of rights, social valued good, opportunities, resources and its rewards, by men and women.",(government departments with gender responsive policies)/(total government departments) X100,Percentage %,No,"•	Sex
•	Geographical location",Department of Women's Affairs of the Ministry of Justice & Community Services,Annually
1,society,4,"An inclusive society which upholds human dignity and where the rights of all Ni-Vanuatu including women, youth, vulnerable groups and the elderly are supported, protected and promoted in our legislation and institutions",SOC 4.2,"Prevent and eliminate all forms of violence and discrimination against women, children and vulnerable groups",SOC 4.2.1,Subjective Well-being indicator,TBD: NSDP Baseline survey,5.1.1 (R). (Tier 3),,,,,"Subjective well-being refers to all of the various types of evaluations, both positive and negative, that people make of their lives.","Subjective Well-being indicator is to Prevent and eliminate all forms of violence and discrimination against women, children and vulnerable groups",Subjective well-being measures are designed to capture information about how people experience their lives.,(# of informations about people)/(total population ) X100,Percentage %,No,"•	Sex
•	Geographical location","NSDP Baseline Survey
Vanuatu National Statistics Office",Every 3 or 5 years
1,society,4,"An inclusive society which upholds human dignity and where the rights of all Ni-Vanuatu including women, youth, vulnerable groups and the elderly are supported, protected and promoted in our legislation and institutions",SOC 4.3,Empower and support people with disabilities,SOC 4.3.1,Proportion of population reporting some degree of disability,TBD: NSDP Baseline survey,10.3.1 (Tier 3),,,,,People with different types of disability.,Proportion of population reporting some degree of disability is to Empower and support people with disabilities,To find out the number of reported types of disabilities.,(Types of disabilities)/(total disability types),Total Count,No,"•	Sex
•	Geographical location","Disability Desk,
Ministry of Justice & Community Services.
HIES Surveys,
VNSO
",Every 3 or 5 years
1,society,4,"An inclusive society which upholds human dignity and where the rights of all Ni-Vanuatu including women, youth, vulnerable groups and the elderly are supported, protected and promoted in our legislation and institutions",SOC 4.4,"Define the roles, responsibilities and relationships between the state, churches, traditional leaders and communities in safeguarding human rights and protecting traditional values and Christian principles",SOC 4.4.3,Proportion of laws reviewed on basis of discriminatory and gender biased principles,By 2030 60%,16.a.1 (Tier 1),,,,,"Proportion of laws that have principles to protect the unjust and prejudicial treatment of different categories of people, especially on the grounds of race, age and sex.","The proportion of laws reviewed on basis of discriminatory and gender biased principles are state, churches, traditional leaders and communities in safeguarding human rights and protecting traditional values and Christian principles.","Discrimination law regulates public life, not private life, so, for example, it covers what happens at work, in education or in the supply of goods and services.",(Total Number of Laws – laws reviewed )/(total Number of Laws) X100,Percentage %,No,"•	Geographical location 
•	Sex",Vanuatu Law Commission,Annually
1,society,4,"An inclusive society which upholds human dignity and where the rights of all Ni-Vanuatu including women, youth, vulnerable groups and the elderly are supported, protected and promoted in our legislation and institutions",SOC 4.6,"Provide opportunities, support and protection services for youth and children as valued members of society",SOC 4.6.1,"Total number of cases with children experiencing human rights violations in the following areas sexual abuse, neglect, physical abuse, exploitation, emotional abuse (disseminate by these areas) accessing support services",Target TBD after baseline established,16.2.1,,,,,"violence” is understood to mean “all forms of physical or mental violence, injury or abuse, neglect or negligent treatment, maltreatment or exploitation, including sexual abuse","Total number of cases with children experiencing human rights violations in the following areas sexual abuse, neglect, physical abuse, exploitation, emotional abuse (disseminate by these areas) accessing support services to Provide opportunities, support and protection services for youth and children as valued members of society","Depicts the risk of cases with children experiencing human rights violations and essentially captures the number of children with the following areas sexual abuse, neglect, physical abuse, exploitation by protecting them. ",(# of children abuse)/(total population ) X100,Percentage %,No,"•	Sex
•	Geographical location","NSDP Baseline Survey
Vanuatu National Statistics Office",Every 3 or 5 years
1,society,4,"An inclusive society which upholds human dignity and where the rights of all Ni-Vanuatu including women, youth, vulnerable groups and the elderly are supported, protected and promoted in our legislation and institutions",SOC 4.6,"Provide opportunities, support and protection services for youth and children as valued members of society",SOC 4.6.2,Proportion of youth age 14-30 that feel valued in society,Target TBD after baseline established,16.2.1 (Tier 1),,,,,Children who are victims of all types of violence accessing support services.,"Total number of cases with children experiencing human rights violations in the following areas sexual abuse, neglect, physical abuse, exploitation, emotional abuse (disseminate by these areas) accessing support services to Provide opportunities, support and protection services for youth and children as valued members of society.",To find out the numbers of reported cases of children accessing support services who are and have experience human right violation.,# of cases of child violence,Total Count,,"•	Sex
•	Geographical location","NSDP Baseline Survey
Vanuatu National Statistics Office",Every 3 or 5 years
1,society,4,"An inclusive society which upholds human dignity and where the rights of all Ni-Vanuatu including women, youth, vulnerable groups and the elderly are supported, protected and promoted in our legislation and institutions",SOC 4.7,"Encourage participation in physical activities and develop a safe and inclusive sports system that serves as a vehicles for community cohesion, education, health, leadership and fair play.",SOC 4.7.1,Proportion of youth actively participating in at least one organised sport in the last 12 months by gender.,Target TBD after baseline established,,,,,,Youth that are participating in organised sport event.,"Proportion of youth actively participating in at least one organised sport in the last 12 months by gender is to Encourage participation in physical activities and develop a safe and inclusive sports system that serves as a vehicles for community cohesion, education, health, leadership and fair play.",To find out reported youth participating in different types of sport.,(Number of youth & types of sport)/(total Number  types of sport) X100,Percentage %,No,"•	Sex
•	Geographical location","NSDP Baseline Survey
Vanuatu National Statistics Office",Every 3 or 5 years
1,society,4,"An inclusive society which upholds human dignity and where the rights of all Ni-Vanuatu including women, youth, vulnerable groups and the elderly are supported, protected and promoted in our legislation and institutions",SOC 4.7,"Encourage participation in physical activities and develop a safe and inclusive sports system that serves as a vehicles for community cohesion, education, health, leadership and fair play.",SOC 4.7.2,Number of government sponsored or partnered sporting events in the last 12 months,By 2030 increase by 30%,,,,,,The number of Sports Events that are taking place throughout the Republic of Vanuatu which are sponsored by the Government or are partnered with another sponsor of the sporting event.  ,"Total Number of Sport Events sponsored or a partner sponsored by the Vanuatu Government. This sporting event can be at Isalnd level, provincial level, National level, and Regional level, ","The Aim of the  Vanuatu government in increasing the  number of sponsored sport events is especially to ;
*  continue to push to increase participation in sports and recreation activities, particularly among under-represented groups of young people including the disabled, women and those living in remote areas;
* the ongoing improvement of the management and operations of sporting organisations, facilities, and resources;  
* strengthen relationship between sport governing bodies at national level and sport governing bodies at provincial level for the achievement of policy goals and the assosciated need to enhance the governance and management capacity of key stakeholders; 
* increase the desire of the government to look to sport as contributing to national development especially as a way of promoting good health, bringing youths and diverting them from antisocial and high -risk behavours.",Collect the number of sporting events that are sponsored by the Vanuatu Government of each year to compare whether there is a increase or decrease or  the number of sporting events sponsored by the the government remains the same over the years.,Total Count,,"*Island Level
*Provincial Level
*National Level
*Regional Level","*Ministry of Youth & Sports
* Vanuatu National Sports Commission",Annually
1,society,5,"A society where the rule of law is consistently upheld, and access to timely justice is available to everyone",SOC 5.1,"Ensure all people have timely and equitable access to independent, well-resourced justice institutions",SOC 5.1.1,Proportion of Justice and Community Services Sector Capacity Development Strategy 2017-2020 implemented,By 2030 50% of activities carried out,16.3.1 (R). Tier 2,,,,,"Support all parts of the justice and community services in promoting justice and providing fair, accessible and equitable services.","The Proportion of Justice and Community Services Sector Capacity Development Strategy 2017-2020 implemented to Ensure all people have timely and equitable access to independent, well-resourced justice institutions","The priorities are to facilitate, coordinate, support and ensure the sector effectively and efficiently deliver services to the people.",(number of community services)/(total population)  X100,Percentage %,No,"•	Geographical location
•	Sex","Justice and Community Services Sector
Ministry of Justice & Community Services",Annually
1,society,5,"A society where the rule of law is consistently upheld, and access to timely justice is available to everyone",SOC 5. 1,"Ensure all people have timely and equitable access to independent, well-resourced justice institutions",SOC 5.1.2,Annual change in number of Magistrate and Supreme Court pending cases,By 2030 decrease by 50% ,16.3.1 (R). Tier 2,,,,,The difference in the number of cases that have been dealt with and cases that are still to be looked in to by the magistrate and supreme courts.,"Annual change in number of Magistrate and Supreme Court pending cases is to Ensure all people have timely and equitable access to independent, well-resourced justice institutions ",To find out the number and types of cases that have been reported and have reached settlements . ,(number of magistrate & supreme court pending cases)/(total # of cases) X100,Percentage %,No,"•	Sex
•	Geographical location","Justice and Community Services Sector
Ministry of Justice & Community Services",Annually
1,society,5,"A society where the rule of law is consistently upheld, and access to timely justice is available to everyone",SOC 5.1,"Ensure all people have timely and equitable access to independent, well-resourced justice institutions",SOC 5.1.3,Average cost of legal fees/services for a court case.,By 2030 decreased in coasts by 50%.,,,,,,Costs of legal fees and services provided by the court.,"The Average cost of legal fees/services for a court case is to ensure all people have timely and equitable access to independent, well-resourced justice institutions.",To find out reported cost of legal fees and services for a court case.,(number of legal fees)/(total court case)X100,Percentage %,No,"•	Sex
•	Geographical location",Judiciary of the Republic of Vanuatu,Annually
1,society,5,"A society where the rule of law is consistently upheld, and access to timely justice is available to everyone",SOC 5.2,Establish and implement a National Anti-Corruption Framework,SOC 5.2.1,Number of Anti-Corruption committee submissions acted upon.,Target TBD after baseline established.,16.5.1 (Tier 2) ,16.5.2 (Tier 1),,,,Existence of committees with policies that promote transpancy.,The number of Anti-Corruption committee submissions acted upon is to establish and implement a National Anti-Corruption Framework.,To find out reported submission of anti-corruption.,(number of anti-corruption policies)/(total number of anti-corruption policies) X100,Percentage %,No,"•	Sex
•	Geographical location",Office of the Ombudsman,Annually
1,society,5,"A society where the rule of law is consistently upheld, and access to timely justice is available to everyone",SOC 5.3,Build the institutional capacity of national security forces and ensure they are adequately resourced to meet performance targets,SOC 5.3.1,Annual number of community safety assessments carried out by VPF,By 2030 – 1 per year,,,,,,Vanuatu community Leaders  working together with Vanuatu police force to ensure peaceful and safe communities.,The Annual number of community safety assessments carried out by VPF to Build the institutional capacity of national security forces and ensure they are adequately resourced to meet performance targets.,To find out the number of safety awareness assessments carried out  by the VPF in communities annually .,collection of administrative data which basically sums up the total number of community safety asssessments carried out by VPF,Total Count,Yes,"•	Geographical location
•	Sex",Police Information Management System,Annually
3,economy,3,"A strong rural economy that creates opportunities, enables the development of rural communities and increasingly contributes to national prosperity.",ECO 3.4,"Increase primary sector production, including through extension services and cooperatives.",ECO 3.4.1,Total annual number of agricultural extension services per capita by province.,"•	By 2030 will increase by 12% (T)
•	1 officer per 500 households (A)","•	2.3.1 (Tier3)","•	2.3.2 (Tier3)",,,,Availability and stationing of agricultural field extension officers in all provinces.,Total annual number of agricultural extension services per capita by province to increase primary sector production.,"To capture the number of all agricultural field workers in all provinces working for the development of rural economy to increase prosperity, nationwide.  ", - collection of administrative data,Total Count,No,"Geographical location
Sex","Department of Agriculture and Rural Development

",Annually
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
